CM1101, Computational Thinking,Dr Matthew Morgan
CM1102 ,Web applications,Dr Kirill Sidorov
CM1103 ,Problem solving with Python,Dr Stuart Allen
CM1201 ,Professional Skills,Mrs Natalia Edwards
CM2102,Database systems ,Dr Jianhua Shao
CM2103 ,Systems Thinking,Professor Roger Whitaker
CM2104 ,Computational mathematics,Dr Yukun Lai
CM2105 ,Data Processing & Visualisation,Dr Hantao Liu
CM2201 ,Object Oriented applications,Dr Andrew Jones
CM2302, Communnication Networks & pervasive Computing,Professor Omer Rana
CM2303 ,Data Structures & Algorithms,Professor Paul Rosin
CM2305 ,Group Project,Dr Frank Langbein
CM3101 ,Business problem solving and decision making,Mrs Natalia Edwards
CM3103 ,High Performance Computing ,Professor David Walker
CM3104 ,Large Scale Databases,Proffessor Christopher Jones
CM3106 ,Multimedia,Professor Andrew Marshall
CM3109 ,Combinatorial Optimisation,Dr Richard Booth
CM3110 ,Security,Dr Georgios Theodorakopoulos
CM3111 ,Forensics,Mr Michael Daley
CM3112 ,Artificial Intelligence,Dr Steven Schockaert
CM3113 ,Computer Vision,Professor Paul Rosin
CM3114 ,Graphics,Dr Xianfang Sun
CMT103,Information Processing in Python,Dr Coral Walker
CMT107,Visual Computing,Dr Xianfang Sun
CMT112,Web Application Development,Dr Martin Chorley
CMT303,Software Engineering,Miss Helen Phillips
CMT304,Programming Paradigms,Professor Ralph Martin
